energy;distance;angle
-397.466512425;0.7500;110.0
-397.465920747;0.7500;111.0
-397.465264257;0.7500;112.0
-397.464544353;0.7500;113.0
-397.463762458;0.7500;114.0
-397.462920028;0.7500;115.0
-397.462018548;0.7500;116.0
-397.461059535;0.7500;117.0
-397.460044541;0.7500;118.0
-397.45897515;0.7500;119.0
-397.457852982;0.7500;120.0
-397.456679691;0.7500;121.0
-397.455456972;0.7500;122.0
-397.454186556;0.7500;123.0
-397.452870213;0.7500;124.0
-397.451509755;0.7500;125.0
-397.450107035;0.7500;126.0
-397.44866395;0.7500;127.0
-397.447182439;0.7500;128.0
-397.445664487;0.7500;129.0
-397.444112124;0.7500;130.0
-397.442527428;0.7500;131.0
-397.440912522;0.7500;132.0
-397.43926958;0.7500;133.0
-397.437600824;0.7500;134.0
-397.435908526;0.7500;135.0
-397.434195005;0.7500;136.0
-397.432462635;0.7500;137.0
-397.430713836;0.7500;138.0
-397.428951082;0.7500;139.0
-397.427176895;0.7500;140.0
-397.425393846;0.7500;141.0
-397.423604557;0.7500;142.0
-397.421811694;0.7500;143.0
-397.420017973;0.7500;144.0
-397.418226152;0.7500;145.0
-397.416439031;0.7500;146.0
-397.414659451;0.7500;147.0
-397.412890287;0.7500;148.0
-397.411134449;0.7500;149.0
-397.409394874;0.7500;150.0
-397.407674524;0.7500;151.0
-397.40597638;0.7500;152.0
-397.404303434;0.7500;153.0
-397.402658687;0.7500;154.0
-397.40104514;0.7500;155.0
-397.399465784;0.7500;156.0
-397.397923597;0.7500;157.0
-397.396421532;0.7500;158.0
-397.394962508;0.7500;159.0
-397.393549404;0.7500;160.0
-397.424820938;0.7500;70.0
-397.427595738;0.7500;71.0
-397.430277516;0.7500;72.0
-397.432866468;0.7500;73.0
-397.435362739;0.7500;74.0
-397.437766447;0.7500;75.0
-397.440077696;0.7500;76.0
-397.44229659;0.7500;77.0
-397.444423243;0.7500;78.0
-397.44645779;0.7500;79.0
-397.448400395;0.7500;80.0
-397.450251253;0.7500;81.0
-397.452010601;0.7500;82.0
-397.453678715;0.7500;83.0
-397.45525592;0.7500;84.0
-397.456742586;0.7500;85.0
-397.458139132;0.7500;86.0
-397.459446026;0.7500;87.0
-397.460663788;0.7500;88.0
-397.461792984;0.7500;89.0
-397.46283423;0.7500;90.0
-397.463788191;0.7500;91.0
-397.464655577;0.7500;92.0
-397.465437144;0.7500;93.0
-397.466133691;0.7500;94.0
-397.46674606;0.7500;95.0
-397.467275131;0.7500;96.0
-397.467721827;0.7500;97.0
-397.468087103;0.7500;98.0
-397.468371953;0.7500;99.0
-397.781612323;0.8000;100.0
-397.781659207;0.8000;101.0
-397.781630263;0.8000;102.0
-397.781526533;0.8000;103.0
-397.781349085;0.8000;104.0
-397.781099021;0.8000;105.0
-397.780777469;0.8000;106.0
-397.780385584;0.8000;107.0
-397.779924555;0.8000;108.0
-397.779395596;0.8000;109.0
-397.778799954;0.8000;110.0
-397.778138905;0.8000;111.0
-397.777413758;0.8000;112.0
-397.776625851;0.8000;113.0
-397.775776557;0.8000;114.0
-397.774867283;0.8000;115.0
