energy;distance;angle
-76.0001672545;1.0500;114.0
-75.999568074;1.0500;115.0
-75.998926492;1.0500;116.0
-75.9982434329;1.0500;117.0
-75.9975198506;1.0500;118.0
-75.9967567299;1.0500;119.0
-75.9959550875;1.0500;120.0
-75.9951159731;1.0500;121.0
-75.9942404704;1.0500;122.0
-75.9933296978;1.0500;123.0
-75.9923848099;1.0500;124.0
-75.9914069981;1.0500;125.0
-75.9903974914;1.0500;126.0
-75.9893575577;1.0500;127.0
-75.9882885042;1.0500;128.0
-75.9871916784;1.0500;129.0
-75.9860684689;1.0500;130.0
-75.9849203059;1.0500;131.0
-75.9837486618;1.0500;132.0
-75.982555052;1.0500;133.0
-75.9813410354;1.0500;134.0
-75.9801082143;1.0500;135.0
-75.9788582353;1.0500;136.0
-75.9775927891;1.0500;137.0
-75.9763136106;1.0500;138.0
-75.975022479;1.0500;139.0
-75.9737212173;1.0500;140.0
-75.9724116923;1.0500;141.0
-75.9710958135;1.0500;142.0
-75.9697755327;1.0500;143.0
-75.9684528429;1.0500;144.0
-75.9671297767;1.0500;145.0
-75.9658084053;1.0500;146.0
-75.9644908366;1.0500;147.0
-75.9631792125;1.0500;148.0
-75.9618757072;1.0500;149.0
-75.9605825241;1.0500;150.0
-75.9593018924;1.0500;151.0
-75.9580360641;1.0500;152.0
-75.9567873098;1.0500;153.0
-75.9555579141;1.0500;154.0
-75.9543501713;1.0500;155.0
-75.9531663802;1.0500;156.0
-75.9520088381;1.0500;157.0
-75.9508798353;1.0500;158.0
-75.9497816481;1.0500;159.0
-75.9487165328;1.0500;160.0
-75.9743412422;1.0500;70.0
-75.9762093607;1.0500;71.0
-75.9780139111;1.0500;72.0
-75.9797551003;1.0500;73.0
-75.9814331065;1.0500;74.0
-75.9830480909;1.0500;75.0
-75.9846002064;1.0500;76.0
-75.9860896059;1.0500;77.0
-75.9875164486;1.0500;78.0
-75.9888809052;1.0500;79.0
-75.990183162;1.0500;80.0
-75.9914234245;1.0500;81.0
-75.9926019191;1.0500;82.0
-75.9937188952;1.0500;83.0
-75.9947746261;1.0500;84.0
-75.9957694091;1.0500;85.0
-75.9967035659;1.0500;86.0
-75.9975774421;1.0500;87.0
-75.9983914062;1.0500;88.0
-75.9991458491;1.0500;89.0
-75.9998411832;1.0500;90.0
-76.0004778407;1.0500;91.0
-76.0010562733;1.0500;92.0
-76.0015769505;1.0500;93.0
-76.002040359;1.0500;94.0
-76.0024470017;1.0500;95.0
-76.0027973972;1.0500;96.0
-76.0030920789;1.0500;97.0
-76.0033315947;1.0500;98.0
-76.0035165069;1.0500;99.0
-75.9846827937;1.1000;100.0
-75.9846886342;1.1000;101.0
-75.9846439458;1.1000;102.0
-75.9845492142;1.1000;103.0
-75.984404943;1.1000;104.0
-75.9842116544;1.1000;105.0
-75.9839698903;1.1000;106.0
-75.9836802132;1.1000;107.0
-75.983343207;1.1000;108.0
-75.9829594783;1.1000;109.0
